frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
299,9.967,166.76,68.48,125.88,101.07,-15.97,0.6607,0.2997,0.52,0.56
300,10.0,170.87,62.2,129.34,96.97,-15.01,0.6385,0.303,0.54,0.56
301,10.033,178.15,66.63,145.73,91.35,-14.43,0.6044,0.3041,0.53,0.56
302,10.067,11.75,72.27,158.13,86.34,-13.7,0.5653,0.306,0.49,0.55
303,10.1,16.45,75.56,171.19,79.96,-12.93,0.5518,0.3084,0.48,0.56
304,10.133,46.98,81.51,176.25,72.34,-12.24,0.547,0.3105,0.47,0.57
305,10.167,59.11,85.15,173.64,64.07,-10.96,0.5132,0.3155,0.46,0.58
306,10.2,81.69,81.81,166.99,49.77,-9.49,0.5005,0.3201,0.47,0.6
307,10.233,84.05,71.34,160.78,31.21,-7.95,0.5039,0.3278,0.51,0.63
308,10.267,96.76,66.12,159.2,16.81,-6.08,0.464,0.3367,0.55,0.65
309,10.3,101.52,69.67,160.14,7.05,-3.06,0.4291,0.3436,0.58,0.66
310,10.333,111.06,73.59,159.26,4.15,-1.22,0.3858,0.3476,0.61,0.68
311,10.367,131.7,77.15,156.81,4.8,-0.5,0.3315,0.3558,0.64,0.69
312,10.4,146.77,79.34,154.07,1.52,0.67,0.2784,0.3646,0.66,0.69
313,10.433,161.31,82.03,151.0,6.08,1.6,0.2222,0.3811,0.67,0.69
314,10.467,168.05,85.36,148.22,7.8,2.49,0.1735,0.3908,0.69,0.7
315,10.5,176.1,96.1,148.8,10.25,3.09,0.1364,0.4096,0.72,0.73
316,10.533,179.4,102.58,147.33,12.88,3.63,0.1035,0.4244,0.74,0.75
317,10.567,178.75,113.57,144.04,22.99,4.22,0.0666,0.4608,0.76,0.77
318,10.6,179.52,117.49,138.27,29.23,3.4,0.0401,0.4707,0.78,0.79
319,10.633,177.85,140.41,134.04,35.16,3.96,0.0387,0.5024,0.78,0.81
320,10.667,179.45,156.96,132.95,40.44,5.08,0.0454,0.521,0.77,0.82
321,10.7,178.85,158.16,130.02,42.35,5.53,0.0235,0.5325,0.77,0.83
322,10.733,179.26,156.56,126.56,43.02,6.28,-0.0011,0.5383,0.75,0.83
323,10.767,179.2,121.8,125.83,46.18,7.27,-0.0109,0.5368,0.74,0.83
324,10.8,176.85,125.9,123.17,47.39,8.13,-0.0012,0.5541,0.7,0.83
325,10.833,179.24,124.68,120.09,49.08,8.97,0.0131,0.5742,0.68,0.83
326,10.867,179.34,136.31,117.59,49.31,9.82,0.0241,0.6034,0.64,0.82
327,10.9,176.89,143.25,113.34,49.24,10.34,0.0315,0.6104,0.65,0.83
328,10.933,175.53,151.35,109.71,50.63,11.1,0.0501,0.6275,0.67,0.84
329,10.967,175.83,156.84,105.62,52.95,11.53,0.0783,0.6442,0.69,0.86
330,11.0,174.56,158.9,99.79,55.18,11.44,0.1044,0.6526,0.7,0.86
331,11.033,174.52,162.15,93.81,59.7,12.11,0.1287,0.6642,0.71,0.87
332,11.067,176.69,165.23,87.24,61.26,11.62,0.1586,0.6693,0.72,0.88
333,11.1,178.56,169.23,79.85,62.07,11.34,0.1904,0.6776,0.74,0.89
334,11.133,177.12,171.34,73.07,64.78,10.68,0.2186,0.684,0.75,0.9
335,11.167,175.98,175.34,65.59,67.76,10.93,0.2397,0.6861,0.77,0.91
336,11.2,173.17,177.25,59.52,68.3,11.76,0.2585,0.6881,0.77,0.92
337,11.233,169.59,179.46,52.31,70.47,11.35,0.2819,0.6838,0.74,0.92
338,11.267,163.34,178.72,44.51,68.31,11.08,0.3118,0.6832,0.67,0.9
339,11.3,169.14,178.05,35.41,68.34,11.07,0.3266,0.6802,0.61,0.87
340,11.333,170.39,177.48,28.33,68.79,11.36,0.3372,0.6776,0.55,0.82
341,11.367,173.01,178.55,22.77,70.82,11.42,0.3365,0.6763,0.49,0.78
342,11.4,166.17,179.31,21.4,73.31,11.29,0.3338,0.6719,0.44,0.72
343,11.433,176.86,179.1,0.81,76.0,10.77,0.3524,0.6616,0.4,0.67
344,11.467,162.22,177.89,14.28,75.99,10.03,0.3645,0.6516,0.36,0.63
345,11.5,158.2,177.18,17.31,76.79,10.39,0.3641,0.64,0.33,0.61
346,11.533,161.48,176.4,13.83,78.98,11.5,0.3474,0.6305,0.3,0.57
347,11.567,174.67,175.85,10.48,79.3,11.9,0.3488,0.6214,0.27,0.53
348,11.6,163.11,175.5,8.25,78.04,11.74,0.3424,0.6146,0.24,0.51
349,11.633,174.0,175.72,3.91,76.06,11.9,0.34,0.6105,0.22,0.49
350,11.667,172.33,175.94,3.89,74.6,12.31,0.3375,0.6044,0.2,0.47
351,11.7,178.96,176.62,1.15,72.11,12.55,0.3274,0.597,0.18,0.47
352,11.733,178.04,177.01,0.79,70.27,13.0,0.3223,0.5907,0.17,0.49
353,11.767,178.97,176.01,2.07,69.92,13.76,0.313,0.586,0.16,0.52
354,11.8,164.37,175.06,7.55,68.16,14.14,0.3137,0.5834,0.15,0.55
355,11.833,147.49,174.88,12.85,65.78,13.97,0.3227,0.5791,0.14,0.53
356,11.867,146.37,174.25,12.41,62.85,13.82,0.3267,0.5751,0.12,0.52
357,11.9,138.97,173.96,15.32,59.45,14.15,0.3273,0.5734,0.11,0.51
358,11.933,136.82,174.05,18.76,56.15,14.09,0.3241,0.5697,0.1,0.52
359,11.967,132.71,174.0,21.66,54.35,14.28,0.3204,0.5634,0.09,0.55
360,12.0,133.47,172.07,23.87,53.75,14.69,0.3173,0.5562,0.08,0.56
361,12.033,133.23,170.71,24.62,50.37,14.86,0.3136,0.5539,0.08,0.56
362,12.067,135.24,170.11,25.57,47.87,15.1,0.3102,0.5524,0.07,0.58
363,12.1,137.36,169.2,26.61,45.16,15.18,0.3082,0.5497,0.07,0.62
364,12.133,135.66,167.21,27.51,43.24,14.58,0.3074,0.5477,0.06,0.64
365,12.167,136.37,165.2,28.55,41.83,14.43,0.3065,0.5376,0.06,0.67
366,12.2,137.5,165.17,29.17,40.19,14.23,0.3053,0.5357,0.06,0.69
367,12.233,137.41,162.95,29.44,39.1,13.74,0.3055,0.5321,0.07,0.71
368,12.267,137.99,161.04,29.96,38.16,13.59,0.3055,0.5279,0.09,0.7
369,12.3,138.65,159.09,29.88,37.2,13.51,0.3049,0.5231,0.1,0.7
370,12.333,139.25,157.36,30.54,35.25,13.12,0.2993,0.5177,0.15,0.71
371,12.367,140.94,154.39,31.21,33.95,13.06,0.2927,0.5084,0.17,0.72
372,12.4,139.13,151.93,32.12,33.07,12.93,0.2931,0.5025,0.17,0.69
373,12.433,143.18,150.55,31.7,31.56,12.94,0.2893,0.4991,0.16,0.67
374,12.467,147.13,148.44,31.57,30.06,12.8,0.2888,0.4937,0.15,0.65
375,12.5,147.18,146.88,31.3,28.44,12.87,0.2898,0.488,0.14,0.61
376,12.533,150.83,144.15,30.87,26.76,12.81,0.2884,0.4805,0.13,0.58
377,12.567,159.47,141.22,29.96,24.85,13.08,0.2887,0.4736,0.13,0.58
378,12.6,165.43,138.88,29.37,23.9,12.91,0.289,0.4691,0.13,0.58
379,12.633,164.15,136.13,29.14,23.49,12.65,0.2884,0.4626,0.13,0.57
380,12.667,168.1,132.87,28.17,22.72,12.5,0.2855,0.4538,0.13,0.56
381,12.7,166.88,125.55,27.69,21.71,12.2,0.2822,0.4379,0.12,0.54
382,12.733,166.65,120.8,29.02,21.21,11.5,0.2754,0.4294,0.12,0.53
383,12.767,164.94,106.99,29.15,20.83,11.25,0.2726,0.4046,0.12,0.51
384,12.8,162.6,98.12,29.68,20.09,10.9,0.2736,0.3889,0.11,0.49
385,12.833,160.43,94.08,29.76,19.85,10.63,0.2745,0.3819,0.11,0.47
386,12.867,160.68,91.44,29.65,19.1,10.54,0.2712,0.3764,0.1,0.44
387,12.9,158.29,90.98,29.39,18.92,10.8,0.2698,0.373,0.09,0.42
388,12.933,154.95,85.75,28.89,19.36,11.16,0.2689,0.3639,0.09,0.39
389,12.967,153.41,84.02,28.52,19.85,11.44,0.2689,0.3613,0.08,0.37
390,13.0,151.24,80.44,27.94,20.78,11.76,0.2678,0.356,0.07,0.35
391,13.033,151.78,81.09,27.91,21.64,11.94,0.2639,0.3564,0.07,0.33
392,13.067,154.8,81.04,27.42,22.67,12.28,0.2632,0.3561,0.07,0.31
393,13.1,154.7,75.88,26.9,23.69,12.59,0.2568,0.3509,0.06,0.28
394,13.133,151.89,72.39,25.98,25.24,12.89,0.2559,0.3476,0.06,0.26
395,13.167,150.96,71.17,25.53,26.65,12.99,0.2475,0.3475,0.05,0.24
396,13.2,157.04,68.99,24.02,27.76,13.36,0.2357,0.3458,0.05,0.23
397,13.233,158.4,66.77,23.99,28.74,13.58,0.2298,0.3419,0.05,0.23
398,13.267,157.99,65.68,23.94,29.73,13.8,0.229,0.3412,0.05,0.23
399,13.3,160.28,64.07,23.35,30.21,13.95,0.2245,0.3375,0.05,0.23
400,13.333,156.94,61.65,23.28,31.15,14.13,0.2229,0.3324,0.05,0.22
401,13.367,146.66,57.8,23.76,32.19,14.78,0.2245,0.3234,0.04,0.21
402,13.4,137.2,54.08,24.34,33.57,15.18,0.2217,0.3146,0.04,0.26
403,13.433,135.5,53.54,25.09,35.21,15.54,0.2199,0.3119,0.04,0.29
404,13.467,135.4,52.12,24.71,35.18,15.79,0.2158,0.3069,0.04,0.33
405,13.5,138.59,51.69,23.98,35.83,16.02,0.2144,0.3041,0.04,0.37
406,13.533,135.17,50.82,24.75,36.7,16.41,0.2145,0.2985,0.04,0.34
407,13.567,136.75,49.47,25.5,36.62,16.53,0.2027,0.2915,0.04,0.32
408,13.6,137.8,49.82,26.29,37.61,16.66,0.2009,0.2897,0.04,0.31
409,13.633,146.0,49.77,26.59,37.07,16.44,0.1989,0.2867,0.04,0.31
410,13.667,153.37,48.92,26.32,36.52,16.3,0.1897,0.2783,0.05,0.32
411,13.7,159.15,49.41,26.1,35.4,16.22,0.1841,0.2738,0.06,0.33
412,13.733,166.82,49.31,25.8,35.07,16.21,0.1735,0.2705,0.09,0.36
413,13.767,173.09,49.56,25.85,35.16,16.27,0.1636,0.2684,0.12,0.4
414,13.8,175.08,50.24,26.41,35.23,16.2,0.1586,0.2683,0.17,0.43
415,13.833,178.21,50.6,27.1,34.72,15.9,0.152,0.265,0.23,0.48
416,13.867,179.07,51.69,28.85,33.58,15.09,0.1463,0.2623,0.29,0.52
417,13.9,174.83,51.41,30.21,32.84,14.55,0.1382,0.26,0.36,0.57
418,13.933,169.45,52.27,29.83,32.08,14.08,0.1332,0.2583,0.42,0.61
419,13.967,159.82,52.97,28.48,31.31,13.52,0.1277,0.2591,0.47,0.64
420,14.0,152.34,53.78,27.46,30.68,13.08,0.1236,0.2602,0.53,0.68
421,14.033,147.73,55.28,27.06,30.47,12.8,0.1218,0.2606,0.57,0.71
422,14.067,143.16,56.89,27.22,30.45,11.95,0.1194,0.2608,0.61,0.74
423,14.1,138.61,59.28,27.0,29.58,11.25,0.1183,0.2607,0.65,0.76
424,14.133,136.02,62.09,28.33,28.05,10.34,0.115,0.2573,0.68,0.78
425,14.167,132.85,66.51,30.13,26.14,9.5,0.1115,0.2577,0.71,0.8
426,14.2,129.82,71.83,30.08,20.85,8.6,0.11,0.2413,0.73,0.82
427,14.233,127.88,76.43,31.49,16.66,7.74,0.1073,0.234,0.76,0.84
428,14.267,125.2,84.17,32.08,10.46,6.96,0.1061,0.2245,0.78,0.85
429,14.3,122.25,95.58,32.0,2.24,6.29,0.1032,0.2194,0.8,0.86
430,14.333,120.78,107.93,31.59,2.56,5.53,0.1028,0.2302,0.82,0.88
431,14.367,119.6,126.56,30.09,4.71,4.82,0.1035,0.2537,0.84,0.89
432,14.4,117.55,159.1,28.68,4.73,4.14,0.1041,0.291,0.85,0.9
433,14.433,113.86,162.01,26.12,3.5,3.43,0.1044,0.2982,0.87,0.91
434,14.467,110.52,150.99,24.47,4.07,2.62,0.1076,0.2841,0.88,0.92
435,14.5,107.64,100.96,22.2,5.8,2.41,0.1122,0.2028,0.89,0.93
436,14.533,106.22,93.21,20.69,7.24,2.16,0.1152,0.179,0.9,0.93
437,14.567,105.19,92.08,19.67,7.7,1.87,0.1178,0.1767,0.91,0.94
438,14.6,103.12,93.09,18.17,8.56,1.69,0.1206,0.1792,0.92,0.94
439,14.633,104.12,92.54,18.89,8.59,1.39,0.1226,0.1837,0.93,0.95
440,14.667,105.66,91.28,20.07,8.54,0.84,0.1256,0.1856,0.93,0.95
441,14.7,106.1,90.46,20.65,8.2,0.53,0.1277,0.189,0.94,0.96
442,14.733,106.31,89.1,20.22,7.18,0.41,0.1296,0.1903,0.95,0.96
443,14.767,108.5,88.43,21.74,7.15,-0.33,0.1311,0.1884,0.95,0.97
444,14.8,108.67,88.53,21.45,7.3,-0.5,0.1357,0.19,0.96,0.97
445,14.833,105.13,86.47,18.16,6.63,-1.03,0.1422,0.191,0.96,0.97
446,14.867,101.82,84.85,14.37,5.94,-1.56,0.1487,0.1918,0.96,0.98
447,14.9,97.89,82.45,10.76,5.13,-2.42,0.1583,0.1923,0.97,0.98
448,14.933,95.86,79.61,8.46,3.86,-3.1,0.1651,0.1927,0.97,0.98
449,14.967,94.4,78.07,7.25,3.93,-3.69,0.171,0.191,0.97,0.98
450,15.0,94.17,76.94,7.39,2.61,-4.1,0.1743,0.1935,0.98,0.98
451,15.033,92.57,76.37,6.1,1.7,-4.65,0.1838,0.1945,0.98,0.98
452,15.067,92.92,75.73,6.11,0.65,-5.33,0.1918,0.1947,0.98,0.99
453,15.1,90.52,76.99,4.34,1.1,-5.55,0.1983,0.1948,0.98,0.99
454,15.133,90.25,77.75,3.59,1.26,-5.97,0.2014,0.1952,0.98,0.99
455,15.167,90.68,80.22,3.69,3.23,-6.43,0.2046,0.1953,0.98,0.99
456,15.2,90.97,80.56,3.71,3.64,-6.77,0.2122,0.1963,0.98,0.99
457,15.233,90.53,81.77,2.97,4.05,-6.82,0.2224,0.2018,0.98,0.99
458,15.267,92.12,81.46,4.5,4.46,-7.16,0.2278,0.2069,0.99,0.99
459,15.3,93.06,80.08,3.97,5.18,-7.6,0.2349,0.2073,0.99,0.99
460,15.333,92.0,80.56,2.2,5.56,-7.78,0.2421,0.2108,0.99,0.99
461,15.367,91.56,80.57,1.18,7.53,-8.19,0.2504,0.2111,0.99,0.99
462,15.4,92.24,81.07,0.87,9.13,-8.55,0.2584,0.2115,0.99,0.99
463,15.433,93.8,80.11,1.4,10.3,-9.12,0.2657,0.2117,0.99,0.99
464,15.467,94.04,78.1,0.96,11.26,-9.71,0.2763,0.2115,0.99,0.99
465,15.5,94.37,77.34,0.64,11.8,-10.14,0.2895,0.2116,0.99,0.99
466,15.533,95.54,75.96,1.61,10.94,-10.59,0.3003,0.2123,0.99,0.99
467,15.567,96.88,74.21,1.83,9.86,-11.15,0.3093,0.2164,0.99,0.99
468,15.6,99.45,73.45,1.01,9.72,-11.75,0.3158,0.2197,0.99,0.99
469,15.633,101.46,71.3,0.59,8.69,-12.13,0.3249,0.2227,0.99,0.99
470,15.667,103.0,69.93,0.62,8.11,-12.39,0.3339,0.2261,0.99,0.99
471,15.7,104.03,69.16,0.58,7.44,-12.57,0.3471,0.2286,0.99,0.99
472,15.733,105.02,68.01,1.2,6.96,-12.67,0.356,0.2317,0.99,0.99
473,15.767,106.59,67.31,1.19,7.13,-12.88,0.3621,0.2357,0.99,0.99
474,15.8,107.21,67.67,1.88,8.64,-13.08,0.3729,0.2385,0.99,0.99
475,15.833,108.42,67.92,2.95,9.88,-13.12,0.3837,0.2414,0.99,0.99
476,15.867,109.0,69.17,4.58,10.98,-13.07,0.3922,0.2437,0.99,0.99
477,15.9,107.98,69.53,6.34,11.83,-13.14,0.403,0.2465,0.99,0.99
478,15.933,108.44,68.96,7.66,10.91,-13.24,0.4153,0.2497,0.99,0.99
479,15.967,109.53,68.86,8.26,11.27,-13.44,0.4243,0.2513,0.99,0.99
480,16.0,109.95,68.11,8.61,11.77,-13.68,0.431,0.2539,0.99,0.99
481,16.033,111.02,67.6,10.0,11.84,-13.78,0.4414,0.2561,0.99,0.99
482,16.067,110.12,68.07,11.78,12.67,-13.66,0.4484,0.2592,0.99,0.99
483,16.1,112.12,68.52,12.9,13.77,-13.82,0.4587,0.2614,0.99,0.99
484,16.133,113.86,67.85,13.21,13.63,-14.16,0.4659,0.2633,0.99,0.99
485,16.167,115.56,66.78,14.28,12.86,-14.3,0.4772,0.2649,0.99,0.99
486,16.2,116.36,66.51,15.57,13.67,-14.36,0.4889,0.2661,0.99,0.99
487,16.233,118.49,66.03,16.62,14.04,-14.44,0.4995,0.2693,0.99,0.99
488,16.267,120.76,64.95,17.39,14.63,-14.71,0.5094,0.2708,0.99,0.99
489,16.3,119.35,64.91,19.89,15.24,-14.82,0.5199,0.2745,0.99,0.99
490,16.333,121.03,65.15,21.02,16.31,-14.94,0.5302,0.2766,0.99,0.99
491,16.367,121.72,66.44,22.4,17.71,-15.15,0.5404,0.2775,0.99,1.0
492,16.4,123.7,67.14,23.14,18.11,-15.18,0.5511,0.2791,0.99,1.0
493,16.433,125.71,67.85,24.0,18.15,-15.38,0.5621,0.2803,0.99,1.0
494,16.467,128.87,69.92,24.46,20.56,-15.54,0.5734,0.2806,1.0,1.0
495,16.5,131.16,71.92,25.41,22.47,-15.64,0.5834,0.2803,1.0,1.0
496,16.533,133.11,73.99,26.48,23.75,-15.73,0.5921,0.2809,1.0,1.0
497,16.567,135.91,77.09,27.18,25.43,-15.68,0.6017,0.2813,1.0,1.0
498,16.6,138.68,78.59,27.6,26.27,-15.67,0.6114,0.282,1.0,1.0
499,16.633,140.63,80.31,28.36,26.68,-15.77,0.62,0.2832,1.0,1.0
500,16.667,141.81,82.25,28.92,27.64,-15.92,0.6283,0.2847,1.0,1.0
501,16.7,143.11,84.96,29.38,28.77,-16.04,0.6355,0.2858,1.0,1.0
502,16.733,147.2,87.68,29.84,28.78,-16.26,0.645,0.2865,1.0,1.0
503,16.767,150.19,90.06,30.46,29.28,-16.41,0.6551,0.2864,1.0,1.0
504,16.8,152.46,92.84,31.04,29.89,-16.56,0.6652,0.2865,1.0,1.0
505,16.833,155.06,95.1,30.87,29.78,-16.74,0.6732,0.2872,1.0,1.0
506,16.867,157.6,97.04,31.06,28.99,-16.87,0.6805,0.2906,1.0,1.0
507,16.9,160.08,99.44,31.13,28.47,-16.98,0.6878,0.2952,1.0,1.0
508,16.933,163.08,102.24,31.27,28.0,-17.09,0.6949,0.3011,1.0,1.0
509,16.967,165.31,105.43,31.97,29.13,-17.18,0.7048,0.3019,1.0,1.0
510,17.0,166.07,108.65,32.59,30.99,-17.12,0.7119,0.3014,1.0,1.0
511,17.033,166.08,113.38,33.51,32.68,-17.15,0.7168,0.3027,1.0,1.0
512,17.067,166.2,118.18,33.91,34.6,-17.15,0.7215,0.3057,1.0,1.0
513,17.1,167.08,123.08,34.36,36.68,-17.2,0.7252,0.3098,1.0,1.0
514,17.133,168.71,127.23,34.56,38.55,-17.25,0.7299,0.3118,1.0,1.0
515,17.167,169.61,132.66,34.75,40.18,-17.3,0.7343,0.3135,1.0,1.0
516,17.2,170.36,136.82,35.27,41.17,-17.33,0.7381,0.3174,1.0,1.0
517,17.233,170.18,140.17,35.96,42.15,-17.36,0.7403,0.3209,1.0,1.0
518,17.267,171.32,143.78,36.16,43.24,-17.44,0.7447,0.3232,1.0,1.0
519,17.3,171.89,146.13,36.57,44.08,-17.5,0.7489,0.3252,1.0,1.0
520,17.333,172.45,149.05,37.13,44.94,-17.56,0.7522,0.328,1.0,1.0
521,17.367,173.67,151.76,37.66,45.35,-17.58,0.7571,0.3322,1.0,1.0
522,17.4,174.28,153.45,38.39,45.52,-17.57,0.7605,0.3355,1.0,1.0
523,17.433,174.65,155.0,38.8,45.65,-17.56,0.7632,0.3385,1.0,1.0
524,17.467,174.82,156.02,39.34,45.68,-17.55,0.7653,0.3396,1.0,1.0
525,17.5,175.54,156.54,39.88,45.59,-17.56,0.7675,0.3403,1.0,1.0
526,17.533,176.46,157.07,40.32,45.43,-17.59,0.7711,0.3419,1.0,1.0
527,17.567,177.49,157.12,40.96,45.02,-17.62,0.7752,0.3435,1.0,1.0
528,17.6,177.16,156.3,41.72,44.22,-17.65,0.7775,0.3447,1.0,1.0
529,17.633,176.51,154.85,42.58,43.12,-17.67,0.7785,0.3462,1.0,1.0
530,17.667,176.69,153.22,42.98,42.1,-17.7,0.7798,0.347,1.0,1.0
531,17.7,177.05,151.27,43.33,40.82,-17.76,0.7819,0.3478,1.0,1.0
532,17.733,177.22,149.73,43.74,39.71,-17.73,0.7827,0.3491,1.0,1.0
533,17.767,177.04,147.98,44.01,38.35,-17.69,0.7839,0.351,1.0,1.0
534,17.8,177.67,145.58,44.31,36.73,-17.77,0.7867,0.3521,1.0,1.0
535,17.833,178.37,144.42,44.54,35.63,-17.79,0.7897,0.3542,1.0,1.0
536,17.867,178.26,142.64,44.79,34.61,-17.7,0.791,0.3549,1.0,1.0
537,17.9,177.83,140.82,44.97,33.54,-17.63,0.7923,0.3552,1.0,1.0
538,17.933,177.72,138.71,45.17,32.28,-17.63,0.7928,0.3555,1.0,1.0
539,17.967,177.2,137.1,45.34,31.21,-17.45,0.793,0.3556,1.0,1.0
540,18.0,177.07,135.69,45.39,30.03,-17.42,0.7927,0.3566,1.0,1.0
541,18.033,176.88,133.7,45.64,28.9,-17.47,0.7923,0.3565,1.0,1.0
542,18.067,176.93,131.93,45.59,27.88,-17.38,0.7922,0.3565,1.0,1.0
543,18.1,177.22,130.07,45.38,26.88,-17.29,0.7916,0.3566,1.0,1.0
544,18.133,177.7,128.8,44.96,26.11,-17.12,0.7905,0.357,1.0,1.0
545,18.167,178.13,127.44,44.72,25.18,-17.11,0.7898,0.3574,1.0,1.0
546,18.2,178.23,126.3,44.39,24.26,-17.01,0.789,0.3579,1.0,1.0
547,18.233,178.17,125.21,44.16,23.55,-16.91,0.7886,0.3582,1.0,1.0
548,18.267,178.14,123.85,43.89,22.68,-16.88,0.7882,0.3585,1.0,1.0
549,18.3,177.87,122.68,43.89,21.76,-16.87,0.7881,0.3591,1.0,1.0
550,18.333,177.88,121.69,43.81,20.82,-16.95,0.7862,0.3598,1.0,1.0
551,18.367,177.87,121.07,43.61,20.17,-16.89,0.7844,0.3603,1.0,1.0
552,18.4,178.1,120.78,43.2,19.77,-16.88,0.7826,0.3605,1.0,1.0
553,18.433,178.05,120.44,42.86,19.32,-16.88,0.7787,0.3605,1.0,1.0
554,18.467,178.33,120.23,42.51,18.82,-16.91,0.7767,0.3607,1.0,1.0
555,18.5,178.66,120.11,41.96,18.63,-16.81,0.7753,0.3607,1.0,1.0
556,18.533,178.76,120.26,41.44,18.31,-16.82,0.7724,0.3607,1.0,1.0
557,18.567,179.06,120.64,40.73,17.93,-16.77,0.7676,0.361,1.0,1.0
558,18.6,178.59,121.22,40.53,17.49,-16.77,0.7649,0.3615,1.0,1.0
559,18.633,178.35,121.66,40.18,17.15,-16.79,0.7634,0.362,1.0,1.0
560,18.667,177.73,122.79,39.64,17.19,-16.72,0.7603,0.362,1.0,1.0
561,18.7,177.03,123.77,39.15,17.19,-16.75,0.7575,0.3619,1.0,1.0
562,18.733,176.61,124.75,38.58,17.19,-16.72,0.7542,0.3619,1.0,1.0
563,18.767,177.14,125.34,37.77,16.96,-16.79,0.7507,0.3624,1.0,1.0
564,18.8,176.79,125.88,37.24,16.72,-16.79,0.7476,0.3624,1.0,1.0
565,18.833,176.91,126.76,36.21,16.72,-16.72,0.7432,0.3625,1.0,1.0
566,18.867,177.03,127.53,35.12,16.64,-16.71,0.7392,0.3625,1.0,1.0
567,18.9,178.27,128.91,33.76,16.8,-16.62,0.7348,0.3624,1.0,1.0
568,18.933,178.66,130.36,32.9,16.99,-16.63,0.7306,0.3622,1.0,1.0
569,18.967,178.42,131.38,31.96,17.04,-16.62,0.7236,0.3622,1.0,1.0
570,19.0,178.27,132.58,30.84,17.45,-16.55,0.7171,0.3616,0.99,1.0
571,19.033,177.95,133.37,29.92,17.66,-16.37,0.7136,0.3609,0.99,1.0
572,19.067,176.44,133.72,28.91,17.59,-15.98,0.7072,0.3604,1.0,1.0
573,19.1,176.04,133.88,27.52,17.48,-15.8,0.7009,0.3601,1.0,1.0
574,19.133,175.45,133.73,26.71,17.1,-15.64,0.695,0.3595,1.0,1.0
575,19.167,174.13,134.07,26.08,16.86,-15.53,0.6885,0.3591,1.0,1.0
576,19.2,172.21,134.14,25.29,16.74,-15.26,0.6806,0.3586,1.0,1.0
577,19.233,170.3,134.17,24.26,16.54,-14.95,0.6727,0.3582,1.0,1.0
578,19.267,169.98,134.46,23.24,16.36,-14.86,0.6677,0.3574,1.0,1.0
579,19.3,168.53,135.24,21.87,16.49,-14.76,0.6566,0.3568,0.99,1.0
580,19.333,167.72,136.16,20.6,16.68,-14.68,0.6487,0.3558,1.0,1.0
581,19.367,167.36,136.74,19.47,16.76,-14.43,0.6423,0.355,1.0,1.0
582,19.4,167.47,136.56,17.97,16.54,-14.31,0.634,0.3538,1.0,1.0
583,19.433,166.86,136.6,17.42,16.54,-14.3,0.6275,0.3514,1.0,1.0
584,19.467,165.66,136.35,15.94,16.84,-14.2,0.617,0.3489,1.0,1.0
585,19.5,164.43,136.26,14.64,16.97,-14.11,0.6077,0.3471,1.0,1.0
586,19.533,163.33,136.67,13.3,17.3,-13.8,0.5996,0.3458,1.0,1.0
587,19.567,162.03,136.85,12.01,17.6,-13.81,0.59,0.3438,1.0,1.0
588,19.6,160.45,136.71,10.77,17.77,-13.86,0.5803,0.3415,1.0,1.0
589,19.633,159.65,137.05,9.56,18.03,-13.82,0.5731,0.3397,1.0,1.0
590,19.667,156.5,136.88,8.86,18.42,-13.76,0.5651,0.3367,1.0,1.0
591,19.7,153.29,137.01,8.1,18.84,-13.68,0.5561,0.3341,1.0,1.0
592,19.733,150.83,137.64,6.93,19.48,-13.4,0.5475,0.3325,1.0,1.0
593,19.767,149.46,137.96,5.48,19.86,-13.17,0.5395,0.3311,1.0,1.0
594,19.8,147.79,137.0,3.96,20.5,-13.1,0.5293,0.3263,1.0,1.0
595,19.833,145.7,136.96,2.97,21.23,-12.99,0.5195,0.3226,1.0,1.0
596,19.867,144.46,138.01,0.7,22.34,-13.03,0.5069,0.3202,1.0,1.0
597,19.9,145.88,138.78,2.48,23.47,-13.03,0.4974,0.3169,1.0,1.0
598,19.933,148.55,138.83,5.88,23.93,-13.01,0.4877,0.3132,1.0,1.0
599,19.967,148.27,138.42,8.4,23.88,-12.99,0.4753,0.3096,1.0,1.0
600,20.0,146.57,137.51,10.18,24.17,-12.91,0.4644,0.3049,1.0,1.0
601,20.033,145.88,136.72,12.16,24.69,-12.88,0.4547,0.2996,1.0,1.0
602,20.067,146.75,136.96,14.52,25.83,-12.85,0.4472,0.2951,0.99,1.0
603,20.1,148.4,137.58,17.86,26.7,-12.9,0.4375,0.2917,0.99,1.0
604,20.133,146.94,137.03,19.65,27.53,-12.82,0.4274,0.287,0.99,1.0
605,20.167,142.63,138.59,21.56,29.6,-12.68,0.4124,0.2827,0.99,1.0
606,20.2,141.7,140.18,23.13,31.97,-12.64,0.4041,0.2774,0.99,1.0
607,20.233,145.03,140.96,26.89,33.96,-12.68,0.3961,0.2713,0.99,1.0
608,20.267,146.88,142.08,29.52,35.8,-12.63,0.3879,0.2663,0.99,1.0
609,20.3,148.7,140.96,32.7,36.43,-12.7,0.3798,0.2611,0.99,1.0
610,20.333,149.61,140.56,36.64,37.9,-12.64,0.3655,0.2537,0.99,1.0
611,20.367,151.75,140.59,40.09,39.11,-12.5,0.3543,0.2486,0.99,1.0
