frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
121,4.205,172.24,174.12,5.46,23.39,2.33,0.5241,0.542,1.0,1.0
122,4.24,172.41,174.5,5.68,23.57,2.31,0.5245,0.5417,1.0,1.0
123,4.275,172.3,174.45,5.9,23.73,2.3,0.5248,0.5418,1.0,1.0
124,4.31,172.5,174.43,6.21,23.89,2.3,0.525,0.5416,1.0,1.0
125,4.344,172.72,174.29,6.53,23.99,2.29,0.5251,0.5415,1.0,1.0
126,4.379,172.89,174.26,6.78,24.32,2.29,0.5253,0.5408,1.0,1.0
127,4.414,172.81,174.66,7.03,24.61,2.29,0.5254,0.5398,1.0,1.0
128,4.449,172.64,174.7,7.07,24.82,2.29,0.5254,0.5391,1.0,1.0
129,4.483,172.39,174.66,7.06,24.94,2.3,0.5255,0.5383,1.0,1.0
130,4.518,172.31,174.68,7.12,25.11,2.3,0.5252,0.5374,1.0,1.0
131,4.553,172.35,174.7,7.4,25.32,2.3,0.5251,0.5369,1.0,1.0
132,4.588,172.29,174.45,7.62,25.45,2.29,0.5249,0.5362,1.0,1.0
133,4.622,172.43,174.29,7.76,25.49,2.29,0.5242,0.5362,1.0,1.0
134,4.657,172.24,174.32,7.99,25.54,2.29,0.5242,0.5359,1.0,1.0
135,4.692,172.33,174.05,8.27,25.63,2.28,0.5243,0.5359,1.0,1.0
136,4.727,172.4,173.74,8.56,25.77,2.26,0.5247,0.5359,1.0,1.0
137,4.761,172.8,173.53,8.9,26.03,2.25,0.5249,0.536,1.0,1.0
138,4.796,172.91,173.26,9.15,26.15,2.23,0.5249,0.536,1.0,1.0
139,4.831,172.67,173.74,9.36,26.47,2.22,0.525,0.5361,1.0,1.0
140,4.866,172.47,173.47,9.56,26.6,2.21,0.5252,0.5361,1.0,1.0
141,4.9,172.5,173.36,9.75,26.75,2.2,0.5252,0.5362,1.0,1.0
142,4.935,172.7,173.32,9.89,26.97,2.19,0.5252,0.5362,1.0,1.0
143,4.97,172.84,173.49,10.06,27.14,2.18,0.5252,0.5351,1.0,1.0
144,5.005,172.77,173.43,10.2,27.23,2.17,0.5251,0.5341,1.0,1.0
145,5.039,172.63,173.39,10.35,27.34,2.16,0.5245,0.5334,1.0,1.0
146,5.074,172.47,172.9,10.49,27.44,2.15,0.5233,0.5333,1.0,1.0
147,5.109,172.36,172.43,10.61,27.55,2.14,0.5226,0.5329,1.0,1.0
148,5.144,172.28,172.3,10.76,27.79,2.12,0.5224,0.5326,1.0,1.0
149,5.178,172.27,172.1,10.92,28.09,2.12,0.5224,0.5321,1.0,1.0
150,5.213,172.14,172.1,11.04,28.33,2.1,0.5224,0.5311,1.0,1.0
151,5.248,172.2,172.31,11.19,28.55,2.09,0.5226,0.5296,1.0,1.0
152,5.283,172.13,172.49,11.33,28.77,2.08,0.5228,0.5287,1.0,1.0
153,5.317,172.26,172.23,11.49,28.91,2.06,0.5228,0.5277,1.0,1.0
154,5.352,172.82,172.01,11.82,29.07,2.05,0.5232,0.5274,1.0,1.0
155,5.387,172.86,171.31,11.98,29.18,2.04,0.5233,0.5277,1.0,1.0
156,5.422,172.66,171.2,12.11,29.57,2.04,0.5233,0.5279,1.0,1.0
157,5.456,172.48,171.14,12.23,29.76,2.04,0.5233,0.528,1.0,1.0
158,5.491,172.36,170.91,12.31,29.98,2.04,0.5227,0.5279,1.0,1.0
159,5.526,172.3,170.88,12.44,30.1,2.03,0.5219,0.5272,1.0,1.0
160,5.561,172.39,170.7,12.6,30.29,2.03,0.5215,0.5268,1.0,1.0
161,5.595,172.35,170.62,12.69,30.54,2.03,0.5206,0.5268,1.0,1.0
162,5.63,172.42,170.61,12.83,30.78,2.04,0.5204,0.5266,1.0,1.0
163,5.665,172.39,170.53,12.97,31.07,2.03,0.5199,0.5258,1.0,1.0
164,5.7,172.2,170.39,13.05,31.2,2.03,0.5195,0.5245,1.0,1.0
165,5.734,172.02,170.36,13.1,31.26,2.02,0.5191,0.5244,1.0,1.0
166,5.769,171.9,170.45,13.17,31.38,1.98,0.5187,0.5238,1.0,1.0
167,5.804,171.79,170.53,13.26,31.8,1.98,0.5187,0.5238,1.0,1.0
168,5.839,171.62,170.37,13.31,32.0,1.98,0.5187,0.5233,1.0,1.0
169,5.873,171.34,169.95,13.35,32.12,1.97,0.5183,0.5233,1.0,1.0
170,5.908,171.11,169.74,13.43,32.15,1.97,0.5179,0.5223,1.0,1.0
171,5.943,171.25,169.7,13.52,32.19,1.97,0.5172,0.5219,1.0,1.0
172,5.978,171.25,169.56,13.63,32.24,1.97,0.5167,0.5209,1.0,1.0
173,6.012,171.08,169.39,13.71,32.32,1.98,0.5164,0.5201,1.0,1.0
174,6.047,170.88,169.67,13.85,32.56,1.98,0.5164,0.5197,1.0,1.0
175,6.082,170.83,169.86,13.98,32.75,1.98,0.5162,0.5196,1.0,1.0
176,6.117,170.84,169.81,14.11,32.9,1.97,0.5161,0.5193,1.0,1.0
177,6.151,170.87,170.15,14.23,33.06,1.97,0.5159,0.5191,1.0,1.0
178,6.186,170.75,170.53,14.37,33.3,1.97,0.515,0.5187,1.0,1.0
179,6.221,170.52,171.04,14.5,33.7,1.96,0.5147,0.5183,1.0,1.0
180,6.256,170.42,171.29,14.67,34.0,1.94,0.5146,0.5177,1.0,1.0
181,6.291,170.37,171.45,14.83,34.18,1.93,0.5142,0.5171,1.0,1.0
182,6.325,169.92,171.46,14.93,34.4,1.92,0.5141,0.5161,1.0,1.0
183,6.36,169.78,171.78,15.07,34.73,1.91,0.5139,0.5149,1.0,1.0
184,6.395,169.62,171.84,15.16,34.88,1.91,0.5138,0.514,1.0,1.0
185,6.43,169.41,171.78,15.23,35.01,1.91,0.5138,0.5134,1.0,1.0
186,6.464,169.14,171.73,15.32,35.15,1.91,0.5137,0.5125,1.0,1.0
187,6.499,168.86,171.68,15.41,35.28,1.91,0.5136,0.5122,1.0,1.0
188,6.534,168.75,171.75,15.47,35.46,1.91,0.5133,0.5121,1.0,1.0
189,6.569,168.63,171.54,15.52,35.56,1.9,0.5129,0.511,1.0,1.0
190,6.603,168.46,171.29,15.59,35.69,1.9,0.5129,0.5101,1.0,1.0
191,6.638,168.36,171.1,15.65,35.81,1.91,0.5125,0.5089,1.0,1.0
192,6.673,168.36,170.95,15.7,35.88,1.91,0.512,0.5088,1.0,1.0
193,6.708,168.43,170.54,15.76,35.93,1.91,0.5111,0.508,1.0,1.0
194,6.742,168.36,170.46,15.8,36.02,1.91,0.5107,0.5077,1.0,1.0
195,6.777,168.39,170.19,15.88,36.03,1.91,0.5098,0.5072,1.0,1.0
196,6.812,168.41,169.71,15.96,36.08,1.91,0.5092,0.5063,1.0,1.0
197,6.847,168.41,169.28,16.03,36.11,1.91,0.5089,0.5049,1.0,1.0
198,6.881,168.17,169.1,16.12,36.19,1.9,0.509,0.5048,1.0,1.0
199,6.916,168.06,168.82,16.22,36.27,1.9,0.5089,0.5045,1.0,1.0
200,6.951,167.79,168.77,16.27,36.35,1.9,0.509,0.5044,1.0,1.0
